ep_reward_mean,policy_loss,approxkl,clipfrac,ep_len_mean,value_loss,fps,true_reward,n_updates,time_elapsed,total_timesteps,policy_entropy,serial_timesteps,explained_variance
4.797062075547692,-0.0076764394,0.021330146,0.258934,56.83,0.03656885,8260,0.13330032,2748,18325.242495536804,137400000,-4.0936537,1374000,0.99400998884812
4.579135830239101,-0.0051290356,0.021356052,0.26325393,52.19,0.041260578,8062,0.13504492,2749,18331.860632419586,137450000,-4.0831966,1374500,0.9936814489774406
4.8905866844947745,-0.0055982852,0.024234312,0.28007,51.97,0.058100656,8160,0.13618796,2750,18338.654853582382,137500000,-4.068881,1375000,0.990843852981925
4.2009724630956775,-0.0047221575,0.025043026,0.29440004,50.37,0.055929832,8189,0.13419646,2751,18345.347636461258,137550000,-4.068019,1375500,0.99165522120893
4.75736761598022,-0.0059203124,0.023581805,0.280182,57.71,0.05338706,8379,0.13237421,2752,18351.992056131363,137600000,-4.062753,1376000,0.9919240027666092
4.970147595514791,-0.005855583,0.022185503,0.270952,58.2,0.035601523,8311,0.13695991,2753,18358.625862836838,137650000,-4.05062,1376500,0.9942042082548141
4.862869874305761,-0.00573341,0.025055474,0.28890198,54.3,0.047011733,8087,0.1374442,2754,18365.263602495193,137700000,-4.049188,1377000,0.9928952087648213
5.068763763126372,-0.0066754078,0.021887327,0.26538,55.73,0.039264426,8248,0.13908316,2755,18372.05218887329,137750000,-4.0497694,1377500,0.9940570998005569
4.171504525760538,-0.0051890127,0.023228906,0.27683803,55.77,0.046505094,8058,0.13210292,2756,18378.677507162094,137800000,-4.042393,1378000,0.9932590834796429
4.67737871443358,-0.0065123998,0.022884937,0.274836,54.76,0.041187335,7994,0.13849717,2757,18385.5296356678,137850000,-4.04158,1378500,0.9936923980712891
5.011143231378519,-0.005626476,0.023668569,0.27968395,58.64,0.042407945,8280,0.13418405,2758,18392.370727300644,137900000,-4.04676,1379000,0.993308468721807
5.059009335650189,-0.006630693,0.020614317,0.256394,60.82,0.04785035,7896,0.13567236,2759,18398.816876411438,137950000,-4.0383687,1379500,0.992341264616698
5.3061877875774375,-0.0055451156,0.022084033,0.26746398,57.58,0.047320705,7954,0.13694166,2760,18405.752949237823,138000000,-4.0426793,1380000,0.992411847691983
4.224687676003014,-0.005891199,0.023094328,0.27624202,48.99,0.03971727,8307,0.13673939,2761,18412.570511341095,138050000,-4.0575743,1380500,0.9940632311627269
