explained_variance,serial_timesteps,ep_reward_mean,ep_len_mean,fps,total_timesteps,clipfrac,time_elapsed,true_reward,n_updates,value_loss,approxkl,policy_entropy,policy_loss
0.9705178309231997,55000,3.274587875897705,65.06,8010,5500000,0.065,746.9671223163605,0.019051043,110,0.15831411,0.0055763437,3.465105,-0.008161809
0.9736168161034584,55500,2.552039127100725,63.69,7858,5550000,0.070746005,753.7070865631104,0.01946272,111,0.15081951,0.005953687,3.4466724,-0.008425292
0.972260557115078,56000,2.785012748769368,55.93,8152,5600000,0.057214,760.6966197490692,0.018050313,112,0.1628626,0.0052025304,3.430529,-0.0073714126
0.9747154898941517,56500,3.733907885519875,64.77,7948,5650000,0.07299401,767.3802862167358,0.02147116,113,0.14809841,0.0060561774,3.4172568,-0.008461636
0.971391836181283,57000,3.3118372140942665,63.07,7991,5700000,0.071637996,774.0893807411194,0.020309553,114,0.16638522,0.00599139,3.4040241,-0.007852014
0.9762370474636555,57500,3.260718943878601,68.96,8020,5750000,0.07434401,780.7107923030853,0.021964526,115,0.15107776,0.006206295,3.384031,-0.008786049
0.9731457307934761,58000,4.107774727358665,72.17,8009,5800000,0.070316,787.5443439483643,0.02155238,116,0.15798546,0.005936297,3.3657415,-0.008632857
0.9738659355789423,58500,3.1665130971772304,61.91,7923,5850000,0.075952,794.2616646289825,0.016862681,117,0.16871744,0.006259601,3.3404353,-0.008360844
0.9745827913284302,59000,3.1870627571946533,66.61,8223,5900000,0.070606,801.0094742774963,0.019206798,118,0.14429316,0.005970535,3.3146217,-0.007862407
0.9746790286153555,59500,4.163081907272135,73.71,8082,5950000,0.07033199,807.6028048992157,0.020610712,119,0.15362217,0.00594627,3.289491,-0.008735093
0.9740843679755926,60000,3.677227875916724,66.51,7999,6000000,0.072607994,814.1533496379852,0.023105476,120,0.15587512,0.0060323947,3.2696762,-0.009328043
0.9764537792652845,60500,3.1974501379267166,61.73,7946,6050000,0.075325996,820.9258515834808,0.021262897,121,0.150994,0.006249228,3.250239,-0.009228714
0.9763605128973722,61000,4.226373839209409,75.35,8391,6100000,0.069050014,827.7207307815552,0.019695465,122,0.14657104,0.0058815395,3.2288506,-0.008202077
0.9787908438593149,61500,3.4497492878113736,76.8,7910,6150000,0.07651799,834.1067490577698,0.020539595,123,0.13022459,0.006344708,3.2037644,-0.009104591
0.9772798493504524,62000,4.582857746054069,74.02,7852,6200000,0.078889996,841.0469498634338,0.02110553,124,0.13688377,0.0064070458,3.1820054,-0.008879117
0.9744566194713116,62500,3.8210249011215636,69.54,8188,6250000,0.07186801,848.0603210926056,0.021676503,125,0.15773301,0.0059917285,3.1656458,-0.0084254285
0.9723462332040071,63000,3.8041771313645585,75.64,7765,6300000,0.073318,854.6828243732452,0.023957515,126,0.16949464,0.006051358,3.1578293,-0.008125988
0.9758473206311464,63500,3.7723274585515174,65.35,8071,6350000,0.07991801,861.7835657596588,0.022022674,127,0.14578272,0.006553632,3.137353,-0.008996937
0.9724720064550638,64000,4.8612238511908075,85.69,7879,6400000,0.071877986,868.4988901615143,0.020586768,128,0.1635315,0.006000893,3.1145477,-0.008088121
0.975345253944397,64500,4.002346472929784,69.91,7750,6450000,0.06862,875.2862064838409,0.020454042,129,0.16888502,0.0058762436,3.0952291,-0.008395953
0.9788553398102522,65000,4.33973160229114,73.95,8028,6500000,0.079670005,882.2988669872284,0.027600711,130,0.13445508,0.006474629,3.0759754,-0.008990074
0.9761449713259935,65500,3.223053017542297,68.67,7607,6550000,0.075174004,889.1677324771881,0.022938658,131,0.15302534,0.006237828,3.0519767,-0.008666096
0.9783787149935961,66000,4.300904699676176,76.33,7854,6600000,0.071830004,896.2465741634369,0.024719521,132,0.14149374,0.006002198,3.0297532,-0.008573758
0.9779235813766718,66500,4.593291171211895,83.41,7891,6650000,0.072217986,902.8816823959351,0.027281072,133,0.14400055,0.0060303207,3.0134037,-0.008298861
0.9764805305749178,67000,3.4828339681070064,65.7,7876,6700000,0.07576999,909.6430819034576,0.020052409,134,0.14947975,0.006308935,2.9932425,-0.008621563
0.9755577407777309,67500,4.487318418859649,80.47,7700,6750000,0.074042,916.6063182353973,0.021809509,135,0.16223715,0.0061771343,2.9784317,-0.0087324735
0.9769166726619005,68000,3.5975656099026674,74.56,7941,6800000,0.07671801,923.7224895954132,0.022266284,136,0.14583953,0.0063183014,2.9584308,-0.008068975
0.9752779901027679,68500,3.3002071401212016,66.21,8186,6850000,0.07531201,930.5571739673615,0.02340249,137,0.15580666,0.0062083686,2.9454205,-0.008015679
0.9819459207355976,69000,3.0979659903838184,66.15,7851,6900000,0.080536015,937.1384582519531,0.022796238,138,0.11689275,0.0065144654,2.9374738,-0.008568377
0.9787292554974556,69500,4.459659253199243,78.65,7736,6950000,0.082748,943.921231508255,0.024052532,139,0.14099345,0.006620815,2.929099,-0.008459051
0.9776583965867758,70000,3.977562158733053,70.42,7861,7000000,0.080162,950.9268610477448,0.026300048,140,0.13752098,0.0065089706,2.914047,-0.008457654
0.9811902809888124,70500,3.0562911942346545,73.79,8261,7050000,0.074870005,957.7060225009918,0.023840323,141,0.13184032,0.0062089292,2.896648,-0.008744793
0.9779710602015257,71000,4.136475048393477,79.65,7852,7100000,0.073815994,964.2872760295868,0.022137303,142,0.14111042,0.0061762887,2.871559,-0.009035906
0.9777274802327156,71500,4.519169709018097,79.91,8213,7150000,0.07903199,971.1891043186188,0.024047503,143,0.14817013,0.0064651244,2.847774,-0.008790321
0.9810752216726542,72000,5.31127154180489,87.53,7870,7200000,0.081826,977.7139041423798,0.025366705,144,0.12166216,0.00659297,2.835582,-0.008362528
0.9834746364504099,72500,4.6200370372631,84.27,8124,7250000,0.080567986,984.5916790962219,0.023169953,145,0.11324238,0.0065049063,2.829315,-0.008722854
0.9767467025667429,73000,3.989457695265446,76.64,7918,7300000,0.081500016,991.1337659358978,0.022020483,146,0.15857644,0.006592863,2.8253717,-0.008386868
