n_updates,fps,policy_entropy,true_reward,value_loss,approxkl,total_timesteps,ep_reward_mean,serial_timesteps,explained_variance,policy_loss,time_elapsed,clipfrac,ep_len_mean
2195,7916,-5.2121754,0.10180461,0.1266774,0.023926176,109750000,8.968120410263328,1097500,0.9753489624708891,-0.0047595273,14693.859829425812,0.28067198,101.06
2196,7838,-5.203177,0.100177854,0.14367454,0.024552012,109800000,10.547772338323485,1098000,0.9731032978743315,-0.0046817013,14700.530761957169,0.276622,117.45
2197,8049,-5.197588,0.109461494,0.09532536,0.025232043,109850000,10.009232152664627,1098500,0.9821661356836557,-0.0025622144,14707.363476991653,0.28813,102.94
2198,8057,-5.2041693,0.106386535,0.10413988,0.02466887,109900000,8.198666309298714,1099000,0.979481527581811,-0.0020985818,14713.940558433533,0.28613794,92.41
2199,8042,-5.2109737,0.1034763,0.08798159,0.024055293,109950000,8.03055425849394,1099500,0.9825928788632154,-0.0040844963,14720.657258987427,0.28340003,94.91
2200,7899,-5.2126245,0.10622671,0.09032155,0.026748527,110000000,9.666151821498934,1100000,0.9820859245955944,-0.00093469187,14727.352082967758,0.30355406,103.69
2201,7963,-5.217878,0.10521411,0.07510577,0.022584608,110050000,8.26653131391693,1100500,0.9839993696659803,-0.0036570139,14734.251697301865,0.27200398,89.91
2202,8238,-5.215367,0.105300166,0.08607719,0.022950783,110100000,9.682653974760033,1101000,0.9828239772468805,-0.004448197,14741.173012256622,0.27192196,103.22
2203,8124,-5.218526,0.10962498,0.10519529,0.023676611,110150000,8.375569344321667,1101500,0.9799414593726397,-0.004743835,14747.821028470993,0.27741003,94.93
2204,8179,-5.2209325,0.10947808,0.095378436,0.024056999,110200000,9.151366234757115,1102000,0.9817855879664421,-0.0032045983,14754.395000696182,0.28459403,105.65
2205,8262,-5.221712,0.102219455,0.14082304,0.024956584,110250000,10.059885459099895,1102500,0.9735083729028702,-0.0015006486,14761.093894481659,0.2878859,130.3
2206,8249,-5.211164,0.10662863,0.09704265,0.024209434,110300000,9.117558280342054,1103000,0.9817245583981276,-0.0042596366,14767.669250249863,0.28348204,97.2
2207,8159,-5.2064795,0.10747509,0.0802742,0.025179751,110350000,10.042874975097074,1103500,0.983243566006422,-0.0014673108,14774.312478780746,0.293702,103.63
2208,7914,-5.20866,0.10528661,0.10250683,0.026049549,110400000,9.341740127790326,1104000,0.979932963848114,-0.0041296794,14780.867832183838,0.2932,107.13
2209,7963,-5.212817,0.1009947,0.116498515,0.025380157,110450000,9.608118087835901,1104500,0.9780343044549227,-0.0021007124,14787.552273273468,0.29498994,111.78
