n_updates,explained_variance,policy_entropy,total_timesteps,serial_timesteps,ep_len_mean,policy_loss,value_loss,fps,true_reward,clipfrac,ep_reward_mean,time_elapsed,approxkl
2299,0.9921603174880147,-6.7710576,114950000,1149500,7.47,0.0024727406,0.0051331096,8109,0.09902109,0.20248002,0.2451155498152366,15160.561200857162,0.01660341
2300,0.9911821661517024,-6.7659783,115000000,1150000,9.69,0.0033774665,0.005877427,8151,0.09908306,0.24870598,0.5220975662639831,15167.17819929123,0.02065134
2301,0.9918772140517831,-6.749965,115050000,1150500,6.86,0.0037006668,0.0054371147,8006,0.09904971,0.26678205,0.23654764157370664,15173.962334871292,0.023464069
2302,0.9925842280499637,-6.741641,115100000,1151000,9.61,0.0022126671,0.0052075046,8207,0.09904089,0.25298,0.44346546661661707,15180.654664516449,0.02460643
2303,0.9935484020970762,-6.738216,115150000,1151500,7.32,0.0045092385,0.004354359,8183,0.098929435,0.28810203,0.25190219586569584,15187.267665147781,0.026046462
2304,0.9909298690035939,-6.7273088,115200000,1152000,10.42,0.003370586,0.006162946,8632,0.098881915,0.22434004,0.5672893859824398,15194.002259492874,0.018786684
2305,0.9934143992140889,-6.712287,115250000,1152500,9.88,0.003719116,0.004827403,8043,0.09893305,0.25943995,0.5081991010849015,15200.302558898926,0.021638513
2306,0.9931401102803648,-6.708699,115300000,1153000,8.89,0.003042821,0.0045751682,8291,0.09910182,0.23455408,0.426644121054851,15207.124157905579,0.019079303
2307,0.9925152682699263,-6.710771,115350000,1153500,8.92,0.00354115,0.0049823513,8273,0.09899955,0.24314001,0.3518310498358915,15213.657714128494,0.02096887
2308,0.9916378110647202,-6.7296705,115400000,1154000,8.1,0.003994958,0.0056533306,8166,0.09919377,0.275436,0.34880539580743064,15220.059888362885,0.029360063
2309,0.9939474388957024,-6.75468,115450000,1154500,8.45,0.0038807404,0.003943918,8225,0.099039696,0.23142397,0.34590427347866354,15226.485508918762,0.018019635
2310,0.9918736768886447,-6.767142,115500000,1155000,9.39,0.0033345134,0.0055463715,8124,0.099111825,0.24026209,0.4475897910448839,15233.156553506851,0.02017039
2311,0.9906857889145613,-6.781994,115550000,1155500,10.74,0.0035502594,0.0064854203,8136,0.09898883,0.23463799,0.5573951930023031,15239.780435085297,0.020475598
2312,0.9924178840592504,-6.7905507,115600000,1156000,8.24,0.004607811,0.0048636342,8353,0.099194534,0.26032197,0.3609016408180469,15246.353197574615,0.024729151
2313,0.9909751238301396,-6.7823567,115650000,1156500,7.78,0.0028406205,0.005873558,8310,0.09908403,0.24253008,0.26866038491512884,15252.904853582382,0.020302128
2314,0.9916446767747402,-6.777274,115700000,1157000,8.73,0.0029343069,0.0058525163,8325,0.09903744,0.231512,0.38913425178150646,15259.560984611511,0.019852135
2315,0.9919372340664268,-6.7779627,115750000,1157500,9.22,0.0026038813,0.005587356,8288,0.09909045,0.20527798,0.3974218627778464,15266.163871765137,0.016245622
2316,0.9910424817353487,-6.776236,115800000,1158000,9.12,0.0025204548,0.0058099623,8527,0.09915381,0.218294,0.4463390558381798,15272.5687789917,0.017734706
2317,0.9917512591928244,-6.763435,115850000,1158500,9.3,0.002013766,0.0054816054,8122,0.09912083,0.22680199,0.42498678016883784,15278.891964673996,0.0188833
2318,0.9933157139457762,-6.7510457,115900000,1159000,7.38,0.0036737123,0.004408271,8255,0.09927372,0.23305397,0.2244831807425362,15285.60318517685,0.020319786
2319,0.9929807614535093,-6.7367864,115950000,1159500,7.41,0.0025419937,0.0047097444,8360,0.09917341,0.20344597,0.21909703886398346,15291.949916601181,0.016014228
2320,0.9917593849822879,-6.722113,116000000,1160000,7.21,0.0033880789,0.00505084,8459,0.099261835,0.24417797,0.23002711500652367,15298.253613233566,0.019252613
2321,0.992952695582062,-6.731371,116050000,1160500,7.06,0.0030840223,0.0046692058,8388,0.09932297,0.24744205,0.18579986977536464,15304.750462532043,0.020143263
2322,0.9924874026328325,-6.736488,116100000,1161000,9.23,0.0025023944,0.005028842,8538,0.09920173,0.199702,0.4218628627274302,15311.310894012451,0.016482905
2323,0.9935033577494323,-6.7354174,116150000,1161500,9.55,0.0037705633,0.00464249,8475,0.09909308,0.22786999,0.37892398399621013,15317.504730939865,0.018994432
2324,0.9922408345155418,-6.740244,116200000,1162000,11.62,0.0040790173,0.0051244344,8624,0.09906764,0.26379007,0.6560530359542462,15323.930436372757,0.022969218
2325,0.9902890436351299,-6.7498107,116250000,1162500,10.73,0.0034429838,0.006422377,8320,0.099136464,0.25160393,0.5312695476904628,15330.266543626785,0.024443327
2326,0.99227005103603,-6.7725782,116300000,1163000,9.49,0.004117175,0.0050514694,8474,0.09920408,0.254618,0.4435457694740035,15336.824713945389,0.021828057
