policy_entropy,approxkl,true_reward,explained_variance,policy_loss,time_elapsed,clipfrac,n_updates,serial_timesteps,fps,ep_len_mean,total_timesteps,value_loss,ep_reward_mean
2.5885224,0.0059261457,0.04055358,0.9775641672313213,-0.008920905,1034.562963962555,0.068469994,153,76500,7950,243.26,7650000,0.09821891,10.189302580321582
2.5766244,0.0060561816,0.035927087,0.9802123662084341,-0.009127989,1041.4930748939514,0.07070999,154,77000,8012,286.33,7700000,0.08509482,10.68962158962102
2.555777,0.005454992,0.046314277,0.9765692669898272,-0.008902376,1048.3069009780884,0.061102003,155,77500,8009,171.57,7750000,0.10687105,9.855884922566693
2.539654,0.0058702575,0.040208787,0.9796556737273932,-0.008424946,1055.0775780677795,0.069522,156,78000,8094,246.65,7800000,0.08781879,10.12968405006568
2.5228271,0.005667509,0.045672383,0.9767313450574875,-0.008608497,1061.7256338596344,0.06566,157,78500,7835,169.48,7850000,0.11147935,9.786612654014334
2.4959574,0.00639564,0.040175635,0.9790415540337563,-0.008485651,1068.5492451190948,0.074292,158,79000,7884,222.91,7900000,0.09797672,9.991873814496685
2.464989,0.00575526,0.04354567,0.9730203878134489,-0.008853161,1075.2765407562256,0.065164015,159,79500,8024,173.6,7950000,0.12042216,9.85402285532684
2.4453068,0.00539447,0.045146294,0.978285638615489,-0.0076097245,1081.9801371097565,0.06268001,160,80000,7889,178.71,8000000,0.113214806,9.933152966350281
2.42777,0.0058875675,0.046391718,0.9778187852352858,-0.008795896,1088.8194172382355,0.06847201,161,80500,8239,155.27,8050000,0.10498305,9.272074293688675
2.4132497,0.0059475736,0.047753226,0.9762977045029402,-0.00859058,1095.2222776412964,0.06955599,162,81000,7843,173.85,8100000,0.10928066,9.91461527734882
2.396046,0.0061920257,0.045322124,0.9818220194429159,-0.008039427,1101.95663356781,0.0723,163,81500,8016,190.84,8150000,0.09417711,10.592957529044398
2.368189,0.006330165,0.046274137,0.9791613426059484,-0.008226538,1108.6935300827026,0.07533201,164,82000,8098,164.6,8200000,0.101749904,9.215941838216276
2.3510509,0.005690625,0.04305488,0.9780091308057308,-0.008463051,1115.4195795059204,0.06465199,165,82500,7877,239.61,8250000,0.105696805,10.708630788563879
2.3279917,0.005690307,0.043395765,0.9824399445205927,-0.008588649,1122.3328166007996,0.06473001,166,83000,8290,235.88,8300000,0.08471504,10.81256978837302
2.3034294,0.0055724997,0.04791812,0.9787564594298601,-0.008517522,1128.7763605117798,0.065731995,167,83500,7934,169.29,8350000,0.11318837,10.403237242761643
2.2888756,0.00549703,0.047791716,0.9808647204190493,-0.007573534,1135.3566272258759,0.060674004,168,84000,8133,197.38,8400000,0.09974528,10.574620382407229
2.2860448,0.0056148954,0.044298984,0.9775001388043165,-0.0085479105,1142.130893945694,0.064977996,169,84500,7850,208.8,8450000,0.105707385,10.055934121846622
2.2788374,0.0061727557,0.049962588,0.9813224077224731,-0.008233645,1149.0175914764404,0.073599994,170,85000,7901,167.37,8500000,0.09834701,10.283196012281005
