value_loss,true_reward,clipfrac,explained_variance,total_timesteps,ep_len_mean,time_elapsed,ep_reward_mean,policy_loss,fps,serial_timesteps,approxkl,policy_entropy,n_updates
0.13894118,0.021024836,0.071328,0.978574538603425,5850000,99.55,776.3126542568207,4.963081868128393,-0.008727472,8086,58500,0.0060043884,3.1532645,117
0.12603143,0.02650519,0.071473986,0.9793005529791117,5900000,109.95,782.9892139434814,6.407030625935586,-0.008514703,8092,59000,0.006027413,3.1324286,118
0.14478701,0.02591117,0.078439996,0.9769829418510199,5950000,93.19,789.7502007484436,4.412407145334291,-0.00896887,8108,59500,0.006416466,3.111547,119
0.14453593,0.02397031,0.073358,0.9785003215074539,6000000,104.1,796.5725798606873,5.704294920200482,-0.008666412,8081,60000,0.006093157,3.0916,120
0.12316291,0.02509729,0.077960014,0.981919102370739,6050000,112.72,803.3652544021606,5.928979253159996,-0.008212572,8362,60500,0.0063481266,3.0730057,121
0.14246428,0.026596408,0.06886601,0.9785615354776382,6100000,113.85,809.839165687561,6.574497136903119,-0.008606925,7917,61000,0.0058769607,3.0560162,122
0.13043717,0.023398966,0.07772399,0.9801726900041103,6150000,116.85,816.5977938175201,5.89106838447391,-0.008775226,7683,61500,0.0063642184,3.0345883,123
0.1547725,0.025808142,0.07869998,0.9764457531273365,6200000,137.74,823.5186808109283,6.078222965103487,-0.00895938,8002,62000,0.0064163767,3.0189483,124
0.13377427,0.026514828,0.08291599,0.9791949689388275,6250000,153.9,830.2451741695404,7.423988585911065,-0.009275242,8045,62500,0.006735187,2.9985387,125
0.13079925,0.024622891,0.077793986,0.980071097612381,6300000,163.48,836.8586988449097,7.514426653301562,-0.008957785,8342,63000,0.0063983793,2.9803176,126
0.12097212,0.026472764,0.075422,0.9804991241544485,6350000,201.34,843.3712275028229,8.858191585335662,-0.0086640725,8300,63500,0.0062809973,2.9596908,127
0.13782963,0.027233465,0.074794,0.9781638532876968,6400000,186.73,849.5942959785461,7.75219562539769,-0.008289194,7945,64000,0.0062376494,2.9272718,128
0.11875197,0.02351345,0.08372999,0.9764234386384487,6450000,274.71,856.3367478847504,9.133487303340008,-0.009690722,8316,64500,0.006800831,2.90526,129
0.13684219,0.02777259,0.078568004,0.9758218750357628,6500000,273.0,862.9383082389832,9.633769687105524,-0.008613452,8176,65000,0.0064533586,2.8943493,130
0.11855374,0.0332591,0.07608599,0.9776461627334356,6550000,272.42,869.4658918380737,10.56574795336488,-0.009364275,8213,65500,0.006302336,2.8768759,131
0.11945742,0.030152775,0.077568,0.9749163761734962,6600000,305.35,876.0505402088165,11.070501139788611,-0.009389216,8058,66000,0.0065024276,2.8464897,132
0.12311342,0.03143986,0.070364006,0.9729753024876118,6650000,235.87,882.6969838142395,9.84945918331041,-0.009219216,7965,66500,0.005999782,2.827704,133
0.105173625,0.033979945,0.071715996,0.9756426177918911,6700000,293.82,889.6208395957947,11.224561908276701,-0.009059844,7994,67000,0.0060935975,2.8184147,134
0.11119034,0.035616454,0.067265995,0.9739133529365063,6750000,285.05,896.2807772159576,11.058663075741315,-0.008880034,8114,67500,0.0058380123,2.8065841,135
0.11616042,0.03344146,0.06593199,0.9710405077785254,6800000,263.2,902.8790152072906,10.56676705969221,-0.008309748,8243,68000,0.0057890452,2.7840793,136
0.11537257,0.033341862,0.07250001,0.9719317518174648,6850000,268.06,909.4119942188263,11.078500917057518,-0.00904121,8290,68500,0.006199494,2.753531,137
0.09736573,0.03433381,0.067052,0.9754573814570904,6900000,275.48,915.8931033611298,10.952907761099922,-0.0082590785,8126,69000,0.005914715,2.7193322,138
0.08858941,0.036359843,0.07541198,0.9777852259576321,6950000,282.73,922.5323543548584,11.591246829233697,-0.008750646,8075,69500,0.0063694282,2.683963,139
0.103683755,0.03483921,0.07609601,0.9694412630051374,7000000,239.59,929.2895119190216,9.839152037431086,-0.00917247,8162,70000,0.0063550826,2.6596887,140
0.09941718,0.039438512,0.067412004,0.9750334601849318,7050000,206.17,935.979015827179,9.207819864955855,-0.009011135,8150,70500,0.0058594183,2.6437593,141
0.07895861,0.035306405,0.068338014,0.9773041028529406,7100000,295.85,942.6039113998413,11.674343290030055,-0.008620299,8093,71000,0.006002924,2.6154764,142
0.106855966,0.04134565,0.07345,0.9747086744755507,7150000,185.72,949.1631309986115,9.361127103349299,-0.008494919,8010,71500,0.0062084175,2.5845294,143
0.09430871,0.03878834,0.06597398,0.9766614623367786,7200000,198.42,955.7898316383362,9.372427948643526,-0.0085530095,8043,72000,0.005743431,2.55874,144
0.0995633,0.039200943,0.064586,0.9746923912316561,7250000,220.66,962.4797601699829,9.453802591189842,-0.008740456,8090,72500,0.0056626643,2.5254354,145
0.09931496,0.03981111,0.06968199,0.9739238880574703,7300000,226.98,969.1981897354126,10.074408179332021,-0.0078994725,8042,73000,0.0059215273,2.5006742,146
0.11230793,0.04396043,0.06646399,0.9758579358458519,7350000,177.99,975.805760383606,9.321951559571135,-0.008398247,7954,73500,0.0057594464,2.4820406,147
0.099148884,0.041507225,0.060969997,0.9761557597666979,7400000,248.4,982.6125144958496,10.825628909811185,-0.008805209,8023,74000,0.005454526,2.455128,148
0.10775914,0.047273546,0.069326006,0.977407306432724,7450000,152.7,989.4470870494843,9.703593654970282,-0.008150123,8120,74500,0.0058403485,2.4375048,149
0.10515652,0.035833895,0.075006,0.9729571118950844,7500000,253.1,996.1779305934906,9.496995378088487,-0.00897176,8169,75000,0.0063372655,2.4296546,150
0.12140643,0.046529505,0.069542,0.9752751104533672,7550000,154.95,1002.7927293777466,9.477494643148583,-0.008265179,8300,75500,0.0059510656,2.4176767,151
0.069473006,0.034774456,0.063803986,0.9811922460794449,7600000,365.55,1009.1901636123657,12.786908133500202,-0.008484432,8159,76000,0.0056052194,2.401454,152
0.12597126,0.0460404,0.069152005,0.9726687613874674,7650000,178.99,1015.6608030796051,9.916245383009809,-0.007597245,8087,76500,0.0059437267,2.3796666,153
0.10603178,0.041591093,0.059964005,0.977697342634201,7700000,247.37,1022.342288017273,11.015384824463872,-0.008234827,8089,77000,0.0052880836,2.3675818,154
0.106618516,0.046795104,0.06989399,0.9783974271267653,7750000,184.65,1029.0137660503387,10.843470784764468,-0.008834813,8292,77500,0.0059908563,2.3465326,155
0.09834076,0.0362392,0.071508005,0.9773010239005089,7800000,329.58,1035.5220885276794,12.607626681015185,-0.009110343,7868,78000,0.0061865505,2.3256648,156
0.091862656,0.035658766,0.07992999,0.977433929219842,7850000,393.04,1042.4116969108582,13.732599204148064,-0.009039272,8358,78500,0.006614769,2.3036382,157
0.13300097,0.041942917,0.068362005,0.9719452038407326,7900000,205.31,1048.8718326091766,10.45103050136655,-0.0081459675,8258,79000,0.0058762645,2.282194,158
0.08184849,0.036024623,0.07295399,0.9813769441097975,7950000,351.77,1055.4239871501923,12.430909006052115,-0.009485077,8007,79500,0.006150863,2.266444,159
0.12738213,0.039611775,0.064265996,0.972819622606039,8000000,260.12,1062.104197025299,10.858990647107857,-0.008616559,7873,80000,0.005577352,2.2535543,160
0.08762176,0.038119737,0.068454005,0.9798701722174883,8050000,311.68,1068.9234447479248,11.381922811940568,-0.009256164,8336,80500,0.0060465233,2.229136,161
0.11821892,0.041932985,0.061526015,0.9753425903618336,8100000,239.15,1075.4454555511475,10.889731079579105,-0.008034033,8137,81000,0.0054085357,2.2063632,162
0.094284914,0.040635776,0.062329993,0.9796801824122667,8150000,289.61,1082.1037006378174,11.834777992019498,-0.008689129,8142,81500,0.0054871696,2.19274,163
0.12761153,0.045879908,0.07305399,0.9758965913206339,8200000,188.1,1088.4990870952606,10.007088893218478,-0.008159328,8300,82000,0.0061403913,2.1891167,164
0.0741933,0.03725726,0.07377399,0.9828923419117928,8250000,334.04,1094.8692438602448,12.226271985786697,-0.008998152,8147,82500,0.0062650912,2.180964,165
0.07650011,0.036142413,0.075904004,0.9825738947838545,8300000,399.5,1101.5322008132935,13.849525854400108,-0.0094634965,8503,83000,0.006400115,2.1636739,166
0.102472395,0.044993192,0.067666,0.9804139193147421,8350000,210.2,1107.9094450473785,10.4162809178525,-0.008934866,8101,83500,0.0058998084,2.151127,167
0.09870227,0.04589567,0.063269995,0.981564100831747,8400000,232.13,1114.420452594757,11.73912375743374,-0.008250603,8073,84000,0.005569282,2.1455915,168
0.08360809,0.04562249,0.070872,0.9834241550415754,8450000,238.87,1121.0312175750732,11.834070603130677,-0.008549539,8059,84500,0.006052777,2.1325274,169
0.12030655,0.04649213,0.067619994,0.9767954386770725,8500000,172.63,1127.6835501194,9.579759262900588,-0.0080646165,8160,85000,0.005858436,2.11266,170
