true_reward,value_loss,policy_loss,fps,approxkl,ep_reward_mean,n_updates,policy_entropy,explained_variance,time_elapsed,clipfrac,ep_len_mean,serial_timesteps,total_timesteps
0.15183134,0.0011723983,0.0020286078,7978,0.028291512,6.664826445780563,8436,-8.003137,0.9997974417638034,56598.25652194023,0.318678,57.95,4218000,421800000
0.14935444,0.001195233,0.0023787904,8033,0.026164556,5.464696795427699,8437,-7.998695,0.9997945650102338,56605.0822455883,0.30262208,49.67,4218500,421850000
0.14994347,0.001210533,0.0032579792,8090,0.029336426,4.983423310486287,8438,-7.9939337,0.9997924126801081,56611.787068367004,0.32226807,48.33,4219000,421900000
0.15053144,0.0012959198,0.0020077252,8144,0.026417743,5.519842144564892,8439,-7.988793,0.9997816153481835,56618.23721241951,0.30369607,50.66,4219500,421950000
0.15127885,0.0012134269,0.0029133698,8124,0.027156286,4.3846797123244325,8440,-7.989739,0.9997957564482931,56624.96330308914,0.30689806,43.57,4220000,422000000
0.14943922,0.0013857291,0.001867908,7975,0.029722596,6.441223896582151,8441,-7.9906654,0.9997554891160689,56631.42927193642,0.32507798,57.97,4220500,422050000
0.1492779,0.0014684513,0.0010823205,8064,0.028362311,5.789570092964568,8442,-7.9926915,0.9997497792937793,56638.14450740814,0.31739193,52.01,4221000,422100000
0.14824511,0.0011657702,0.00196289,8034,0.02667865,5.87621307968589,8443,-7.997824,0.999802374484716,56644.804211616516,0.30877197,52.86,4221500,422150000
0.15042424,0.0012635047,0.0020846685,8277,0.027804134,6.206429747634338,8444,-7.997672,0.999786303305882,56651.55097770691,0.31617004,51.43,4222000,422200000
0.14938183,0.0010956536,0.0021241766,7903,0.0269061,4.979960372337755,8445,-7.9915895,0.9998235352977645,56658.07194399834,0.30869603,49.41,4222500,422250000
0.1466681,0.001476594,0.0020835805,8149,0.027791582,5.3222231238897075,8446,-7.983244,0.9997417389240582,56664.97680473328,0.31363198,50.55,4223000,422300000
0.15253939,0.001072528,0.00042373393,8348,0.024084076,4.96614682260265,8447,-7.98003,0.9998169451573631,56671.752041339874,0.2864039,47.95,4223500,422350000
0.14856964,0.0011245956,0.00070242287,8020,0.026830668,6.149648577313001,8448,-7.97925,0.9998018692276673,56677.9686934948,0.30726597,53.96,4224000,422400000
0.14976357,0.0011625108,0.0005991951,8012,0.025656011,5.460335927759789,8449,-7.978932,0.9997941798792453,56684.746379613876,0.30101395,50.12,4224500,422450000
0.15163538,0.0009996964,0.00028099236,7865,0.025556412,5.164141762704794,8450,-7.979484,0.999827555322554,56691.19926071167,0.29595596,49.17,4225000,422500000
0.15176898,0.001247527,0.0013731951,7838,0.02653632,5.271305549723093,8451,-7.9867125,0.9997912467079004,56698.03179144859,0.30342805,48.63,4225500,422550000
0.1482754,0.004255368,0.004206836,7929,0.04253706,4.748341282102265,8452,-7.996191,0.9993013383937068,56704.983152627945,0.36421603,48.85,4226000,422600000
0.14745094,0.0042640762,0.0049815234,8354,0.04814708,3.7521687740170275,8453,-8.003156,0.9992548254085705,56711.78074169159,0.37554196,42.01,4226500,422650000
0.15210192,0.0013272949,0.0020619787,7788,0.027166812,5.47800066817108,8454,-8.014283,0.9997712512995349,56718.25893878937,0.30912396,51.69,4227000,422700000
0.15132602,0.0015262864,0.002363527,7873,0.02951091,5.18211873505803,8455,-8.019643,0.999732293013949,56725.209047079086,0.31872,48.2,4227500,422750000
0.15206625,0.0010768754,0.0024305398,8144,0.027861968,5.030018088197032,8456,-8.025183,0.9998107869032538,56731.97065591812,0.313892,49.11,4228000,422800000
0.14712815,0.0012909995,0.0006722821,8147,0.029509002,3.8694468442374275,8457,-8.032183,0.9997770081099588,56738.56480717659,0.32114598,43.33,4228500,422850000
0.14961699,0.012173873,-0.004292342,8141,0.12717296,5.240500973137473,8458,-8.0321865,0.998326774337329,56745.16956233978,0.33028203,50.34,4229000,422900000
0.14832936,0.0072802836,0.0013483466,8209,0.07010898,5.245245099114581,8459,-8.03553,0.9988514505093917,56751.74271130562,0.36289597,49.17,4229500,422950000
0.14972223,0.001303198,-4.3851138e-05,7957,0.02575475,4.769935713458517,8460,-8.054617,0.9997748509194935,56758.12783122063,0.29843798,48.31,4230000,423000000
0.14956781,0.0010838006,0.0019879472,8364,0.027573993,5.654005861735345,8461,-8.0569,0.9998114116460783,56765.04964542389,0.31436196,51.37,4230500,423050000
0.14938055,0.00463194,0.003246795,7666,0.04517737,5.72886449167173,8462,-8.056578,0.9992398128961213,56771.54647731781,0.38117588,52.39,4231000,423100000
0.14875278,0.0011343822,0.001316208,7987,0.026907096,5.438897291469812,8463,-8.065044,0.9998148353770375,56778.61663269997,0.30998197,51.2,4231500,423150000
